Population,English,Spanish,French,Italian,Portuguese,German,Greek,Russian,Polish,Chinese,Japanese,Korean,Thai,Vietnamese,Arabic,Zipcode
11905.0,7689.0,887.0,110.0,110.0,186.0,103.0,105.0,31.0,190.0,575.0,118.0,185.0,0.0,1.0,199.0,60601
1294.0,1081.0,60.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,57.0,16.0,0.0,0.0,14.0,60602
1076.0,687.0,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,4.0,143.0,0.0,19.0,14.0,60603
545.0,388.0,42.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,5.0,60604
27238.0,19660.0,973.0,422.0,283.0,155.0,71.0,32.0,232.0,122.0,1209.0,206.0,269.0,107.0,25.0,184.0,60605
3098.0,2079.0,63.0,55.0,12.0,34.0,47.0,9.0,28.0,53.0,59.0,0.0,51.0,0.0,0.0,70.0,60606
27557.0,19265.0,1333.0,129.0,135.0,58.0,114.0,190.0,156.0,274.0,1401.0,51.0,374.0,21.0,142.0,97.0,60607
79607.0,30199.0,36690.0,163.0,103.0,22.0,110.0,61.0,125.0,366.0,5614.0,29.0,240.0,13.0,66.0,65.0,60608
62010.0,26654.0,26659.0,38.0,87.0,6.0,27.0,44.0,18.0,181.0,2571.0,29.0,55.0,17.0,11.0,104.0,60609
39598.0,31785.0,1951.0,302.0,98.0,98.0,64.0,110.0,408.0,188.0,497.0,19.0,212.0,143.0,0.0,77.0,60610
31165.0,22535.0,1267.0,384.0,174.0,123.0,117.0,253.0,416.0,195.0,1084.0,181.0,187.0,18.0,29.0,353.0,60611
36531.0,28203.0,3427.0,159.0,61.0,0.0,20.0,25.0,40.0,199.0,345.0,10.0,62.0,40.0,28.0,67.0,60612
49389.0,37784.0,3512.0,614.0,131.0,43.0,359.0,124.0,436.0,269.0,330.0,132.0,67.0,33.0,43.0,296.0,60613
69423.0,56832.0,2580.0,758.0,215.0,101.0,377.0,222.0,504.0,512.0,368.0,18.0,277.0,17.0,148.0,215.0,60614
41210.0,31830.0,2020.0,471.0,82.0,62.0,280.0,18.0,71.0,95.0,1619.0,200.0,310.0,46.0,33.0,161.0,60615
52214.0,25624.0,3235.0,401.0,182.0,157.0,132.0,174.0,71.0,85.0,16646.0,93.0,138.0,76.0,154.0,107.0,60616
82213.0,50171.0,23549.0,433.0,69.0,12.0,46.0,22.0,13.0,67.0,28.0,0.0,0.0,0.0,1.0,20.0,60617
97324.0,45540.0,35034.0,356.0,142.0,124.0,506.0,189.0,239.0,1837.0,405.0,123.0,56.0,359.0,184.0,384.0,60618
63411.0,56860.0,1020.0,258.0,1.0,0.0,63.0,7.0,26.0,3.0,26.0,17.0,0.0,164.0,0.0,0.0,60619
69909.0,63986.0,796.0,107.0,0.0,35.0,19.0,10.0,0.0,21.0,31.0,37.0,12.0,0.0,17.0,0.0,60620
31881.0,28251.0,654.0,89.0,8.0,0.0,9.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,60621
55516.0,36211.0,9771.0,249.0,35.0,47.0,142.0,74.0,214.0,895.0,180.0,23.0,86.0,0.0,53.0,28.0,60622
88635.0,31326.0,49059.0,74.0,2.0,46.0,38.0,12.0,16.0,34.0,1.0,23.0,63.0,0.0,0.0,44.0,60623
38140.0,33717.0,850.0,52.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,60624
78731.0,33141.0,23472.0,321.0,70.0,60.0,203.0,843.0,423.0,431.0,732.0,68.0,740.0,190.0,849.0,1450.0,60625
49118.0,28668.0,9266.0,572.0,147.0,69.0,251.0,61.0,445.0,282.0,408.0,126.0,52.0,23.0,213.0,301.0,60626
67914.0,60839.0,2258.0,148.0,14.0,0.0,52.0,6.0,7.0,15.0,20.0,0.0,24.0,0.0,0.0,37.0,60628
114982.0,36524.0,66918.0,85.0,61.0,0.0,13.0,142.0,24.0,931.0,120.0,0.0,217.0,10.0,1.0,340.0,60629
56653.0,26216.0,11092.0,282.0,291.0,0.0,261.0,500.0,90.0,4887.0,594.0,20.0,291.0,174.0,1026.0,780.0,60630
28255.0,21356.0,1554.0,65.0,342.0,0.0,169.0,283.0,5.0,1761.0,60.0,5.0,74.0,0.0,5.0,63.0,60631
91310.0,12684.0,65474.0,75.0,19.0,12.0,26.0,4.0,6.0,2244.0,2959.0,0.0,53.0,42.0,76.0,24.0,60632
12754.0,8577.0,2905.0,27.0,0.0,8.0,47.0,90.0,7.0,116.0,14.0,0.0,0.0,0.0,0.0,74.0,60633
74093.0,27174.0,20399.0,105.0,1115.0,45.0,316.0,790.0,131.0,13290.0,193.0,19.0,156.0,211.0,68.0,717.0,60634
37278.0,33021.0,1452.0,44.0,2.0,0.0,6.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,10.0,60636
50326.0,41802.0,994.0,410.0,19.0,87.0,246.0,4.0,159.0,105.0,953.0,54.0,167.0,24.0,30.0,82.0,60637
57958.0,30433.0,16771.0,40.0,324.0,0.0,75.0,247.0,43.0,5156.0,93.0,7.0,67.0,0.0,28.0,303.0,60638
91379.0,21247.0,59292.0,62.0,48.0,0.0,16.0,137.0,23.0,1484.0,14.0,0.0,101.0,16.0,1.0,379.0,60639
66050.0,42934.0,6690.0,520.0,138.0,160.0,376.0,189.0,966.0,325.0,786.0,120.0,604.0,233.0,906.0,342.0,60640
72588.0,24706.0,31498.0,63.0,110.0,44.0,191.0,165.0,101.0,5574.0,156.0,57.0,80.0,38.0,132.0,665.0,60641
19989.0,13688.0,3719.0,43.0,108.0,53.0,77.0,8.0,43.0,310.0,77.0,33.0,45.0,19.0,19.0,18.0,60642
50992.0,46326.0,950.0,160.0,29.0,0.0,95.0,27.0,105.0,26.0,30.0,0.0,0.0,0.0,0.0,27.0,60643
49080.0,42539.0,1987.0,270.0,0.0,11.0,14.0,0.0,6.0,16.0,35.0,0.0,12.0,0.0,0.0,38.0,60644
45873.0,19770.0,6769.0,178.0,147.0,16.0,170.0,139.0,940.0,173.0,345.0,33.0,342.0,0.0,317.0,1070.0,60645
28203.0,17588.0,1881.0,97.0,209.0,0.0,225.0,268.0,198.0,1464.0,262.0,31.0,470.0,33.0,310.0,603.0,60646
88269.0,47417.0,31631.0,255.0,81.0,47.0,207.0,119.0,129.0,454.0,260.0,54.0,98.0,46.0,39.0,80.0,60647
45305.0,39472.0,885.0,440.0,22.0,0.0,22.0,0.0,0.0,3.0,19.0,78.0,25.0,10.0,0.0,20.0,60649
61287.0,39321.0,17026.0,114.0,4.0,0.0,18.0,0.0,17.0,73.0,9.0,20.0,32.0,0.0,0.0,18.0,60651
42176.0,25782.0,12271.0,50.0,87.0,16.0,28.0,58.0,26.0,214.0,41.0,21.0,10.0,0.0,0.0,375.0,60652
30683.0,26740.0,536.0,143.0,0.0,30.0,15.0,15.0,4.0,16.0,33.0,1.0,7.0,3.0,38.0,20.0,60653
15934.0,12818.0,573.0,127.0,93.0,35.0,52.0,32.0,121.0,31.0,255.0,118.0,126.0,0.0,0.0,158.0,60654
28479.0,24750.0,766.0,0.0,40.0,8.0,65.0,38.0,10.0,49.0,57.0,17.0,49.0,15.0,0.0,28.0,60655
28526.0,14169.0,2055.0,27.0,704.0,9.0,179.0,274.0,140.0,3800.0,137.0,0.0,25.0,20.0,10.0,1010.0,60656
69147.0,55901.0,2905.0,452.0,190.0,165.0,335.0,138.0,284.0,412.0,602.0,259.0,250.0,58.0,223.0,311.0,60657
38276.0,12395.0,5870.0,85.0,35.0,19.0,198.0,525.0,199.0,150.0,850.0,119.0,437.0,42.0,913.0,1539.0,60659
40719.0,24279.0,5930.0,304.0,151.0,40.0,175.0,128.0,343.0,350.0,444.0,159.0,121.0,144.0,434.0,193.0,60660
8875.0,5629.0,375.0,107.0,28.0,8.0,29.0,17.0,28.0,0.0,941.0,30.0,158.0,26.0,10.0,39.0,60661
