Zipcode,1 Person,2 People,3 People,4 or More People,Total,Area,success_count,1 Person_P,2 People_P,3 People_P,4 or More People_P
60607,5435.0,4636.0,1461.0,1131.0,12663.0,Central,52.0,42.9,36.6,11.5,8.9
60609,5610.0,4756.0,3504.0,6090.0,19960.0,South Side,2.0,28.1,23.8,17.6,30.5
60625,8773.0,8862.0,5085.0,6725.0,29445.0,Far North Side,58.0,29.8,30.1,17.3,22.8
60646,3298.0,3325.0,1469.0,2667.0,10759.0,Far North Side,16.0,30.7,30.9,13.7,24.8
60652,2675.0,3305.0,2518.0,4713.0,13211.0,Far South West Side,6.0,20.2,25.0,19.1,35.7
60611,11900.0,7178.0,938.0,471.0,20487.0,Central,29.0,58.1,35.0,4.6,2.3
60616,11191.0,6912.0,2638.0,3183.0,23924.0,Central,26.0,46.8,28.9,11.0,13.3
60651,4933.0,5150.0,3108.0,6092.0,19283.0,West Side,1.0,25.6,26.7,16.1,31.6
60604,193.0,191.0,6.0,10.0,400.0,Central,2.0,48.2,47.8,1.5,2.5
60612,5331.0,3609.0,1745.0,2515.0,13200.0,West Side,8.0,40.4,27.3,13.2,19.1
60613,12855.0,8449.0,2586.0,2361.0,26251.0,Far North Side,23.0,49.0,32.2,9.9,9.0
60617,8291.0,7729.0,4567.0,7250.0,27837.0,Far South East Side,14.0,29.8,27.8,16.4,26.0
60618,9615.0,11028.0,6515.0,8117.0,35275.0,North Side,45.0,27.3,31.3,18.5,23.0
60624,3769.0,2722.0,2130.0,3355.0,11976.0,West Side,2.0,31.5,22.7,17.8,28.0
60626,10626.0,6727.0,2077.0,2760.0,22190.0,Far North Side,16.0,47.9,30.3,9.4,12.4
60630,6182.0,6066.0,3192.0,5519.0,20959.0,Far North Side,13.0,29.5,28.9,15.2,26.3
60632,4099.0,4836.0,4337.0,11254.0,24526.0,South West Side,7.0,16.7,19.7,17.7,45.9
60645,4310.0,5012.0,2173.0,4690.0,16185.0,Far North Side,9.0,26.6,31.0,13.4,29.0
60653,6768.0,3553.0,1905.0,2034.0,14260.0,South Side,2.0,47.5,24.9,13.4,14.3
60654,7092.0,3714.0,482.0,347.0,11635.0,Central,41.0,61.0,31.9,4.1,3.0
60657,17679.0,12666.0,3581.0,2892.0,36818.0,North Side,65.0,48.0,34.4,9.7,7.9
60659,3151.0,3620.0,2073.0,4022.0,12866.0,Far North Side,37.0,24.5,28.1,16.1,31.3
60603,226.0,291.0,27.0,19.0,563.0,Central,13.0,40.1,51.7,4.8,3.4
60614,15399.0,11420.0,3641.0,3131.0,33591.0,North Side,63.0,45.8,34.0,10.8,9.3
60615,11050.0,5022.0,2321.0,2077.0,20470.0,South Side,6.0,54.0,24.5,11.3,10.1
60619,11387.0,6730.0,3992.0,3947.0,26056.0,Far South East Side,3.0,43.7,25.8,15.3,15.1
60621,4463.0,2558.0,1702.0,2299.0,11022.0,South Side,1.0,40.5,23.2,15.4,20.9
60636,3720.0,2775.0,1843.0,2884.0,11222.0,South West Side,0.0,33.1,24.7,16.4,25.7
60639,4790.0,5902.0,4358.0,10214.0,25264.0,North West Side,14.0,19.0,23.4,17.2,40.4
60643,5470.0,5217.0,3091.0,4327.0,18105.0,Far South West Side,7.0,30.2,28.8,17.1,23.9
60647,10795.0,12002.0,5162.0,6292.0,34251.0,North Side,68.0,31.5,35.0,15.1,18.4
60642,3414.0,3839.0,1024.0,826.0,9103.0,Central,17.0,37.5,42.2,11.2,9.1
60656,4171.0,4040.0,1614.0,1905.0,11730.0,Far North Side,2.0,35.6,34.4,13.8,16.2
60628,7531.0,6593.0,3840.0,5360.0,23324.0,Far South East Side,4.0,32.3,28.3,16.5,23.0
60641,6638.0,7324.0,4015.0,6578.0,24555.0,North West Side,15.0,27.0,29.8,16.4,26.8
60601,4897.0,2667.0,561.0,275.0,8400.0,Central,4.0,58.3,31.8,6.7,3.3
60608,8097.0,7015.0,4446.0,5814.0,25372.0,South Side,36.0,31.9,27.6,17.5,22.9
60620,9081.0,7042.0,3991.0,5311.0,25425.0,Far South West Side,3.0,35.7,27.7,15.7,20.9
60634,6849.0,7442.0,4861.0,6811.0,25963.0,North West Side,33.0,26.4,28.7,18.7,26.2
60637,8260.0,4897.0,2852.0,2982.0,18991.0,South Side,3.0,43.5,25.8,15.0,15.7
60644,5716.0,3702.0,2427.0,4274.0,16119.0,West Side,1.0,35.5,23.0,15.1,26.5
60605,6364.0,5213.0,1145.0,517.0,13239.0,Central,24.0,48.1,39.4,8.6,3.9
60606,1189.0,646.0,144.0,0.0,1979.0,Central,10.0,60.1,32.6,7.3,0.0
60623,5044.0,5710.0,4272.0,10092.0,25118.0,West Side,10.0,20.1,22.7,17.0,40.2
60629,6746.0,6056.0,4899.0,13522.0,31223.0,South West Side,13.0,21.6,19.4,15.7,43.3
60633,1389.0,1471.0,657.0,1178.0,4695.0,Far South East Side,3.0,29.6,31.3,14.0,25.1
60638,4906.0,5899.0,3006.0,6289.0,20100.0,South West Side,9.0,24.4,29.3,15.0,31.3
60640,17467.0,10885.0,3335.0,2795.0,34482.0,Far North Side,60.0,50.7,31.6,9.7,8.1
60649,10904.0,4560.0,2542.0,2532.0,20538.0,South Side,4.0,53.1,22.2,12.4,12.3
60655,2470.0,3061.0,1757.0,2818.0,10106.0,Far South West Side,3.0,24.4,30.3,17.4,27.9
60661,2978.0,2194.0,516.0,88.0,5776.0,Central,16.0,51.6,38.0,8.9,1.5
60631,4084.0,3591.0,1737.0,2496.0,11908.0,Far North Side,9.0,34.3,30.2,14.6,21.0
60610,13562.0,7497.0,1474.0,768.0,23301.0,Central,15.0,58.2,32.2,6.3,3.3
60622,8091.0,9302.0,3464.0,2751.0,23608.0,West Side,63.0,34.3,39.4,14.7,11.7
60660,10588.0,6343.0,1986.0,1659.0,20576.0,Far North Side,20.0,51.5,30.8,9.7,8.1
60602,197.0,305.0,42.0,52.0,596.0,Central,9.0,33.1,51.2,7.0,8.7
