ZIP CODE,LICENSES 2015,LICENSES 2002-18,HOUSEHOLD INCOME
60601,65,1309,156723
60602,31,534,172492
60603,44,720,121184
60604,26,552,114724
60605,57,877,157763
60606,87,1322,134625
60607,98,1310,120419
60608,232,2060,57770
60609,118,1500,47139
60610,103,1951,132877
60611,329,2381,159285
60612,59,866,60654
60613,71,1407,113058
60614,392,2567,149897
60615,35,599,67727
60616,79,1431,66098
60617,66,1316,51429
60618,154,2332,97946
60619,67,1341,46846
60620,59,1179,47131
60621,38,651,32722
60622,131,2057,119502
60623,85,1669,41680
60624,35,675,36426
60625,273,2101,86237
60626,61,1076,56683
60628,134,1098,52448
60629,182,1433,54685
60630,119,1043,84544
60631,23,487,105355
60632,268,1915,55174
60633,19,166,63414
60634,179,1548,77020
60636,92,879,40198
60637,107,827,55880
60638,73,1097,81929
60639,202,2082,54396
60640,229,1896,75075
60641,153,1273,73909
60642,69,737,114612
60643,101,841,83368
60644,103,820,41174
60645,62,592,74399
60646,18,520,116656
60647,335,2707,95062
60649,47,850,43822
60651,124,1209,49663
60652,71,662,76125
60653,37,397,51883
60654,87,847,151857
60655,24,369,105761
60656,29,307,77236
60657,300,2534,129376
60659,176,1427,68047
60660,119,957,66167
60661,119,797,132987
,,,
,,,